Attention Time
20.7
23.5
10.9
44.1
15.7
14
20.3
43.1
36.4
32.5
16.7
6.4
7.1
13.8
46.6
20.7
34
14.3
0.8
19.1
22.5
1.3
46
24.3
10.6
48.2
44.5
21.9
1.1
36.9
12.1
39.6
23.4
9.3
6.7
7.7
23.8
17.5
19.3
27.9
2.9
35.6
29.4
3.4
5.4
22.2
20
9.6
14.6
14
